id_position,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
48,85,61,71,84,84,197781,85,67,61,84,71,84,82,79,83,70,LM RM CAM CM ,85,67,61,84,71,84,82,79,83,70,79
49,80,80,82,79,81,197445,80,83,80,81,82,79,81,77,80,84,CM CB LB ,80,83,80,81,82,79,81,77,80,84,77
50,77,53,57,80,71,192505,77,56,53,71,57,80,77,84,78,58,ST ,77,56,53,71,57,80,77,84,78,58,84
51,77,81,81,76,78,191043,77,84,81,78,81,76,80,75,78,84,LM LB ,77,84,81,78,81,76,80,75,78,84,75
52,81,58,65,83,78,189596,81,66,58,78,65,83,81,83,81,68,ST CAM RW CF ,81,66,58,78,65,83,81,83,81,68,83
53,75,80,83,72,81,189511,75,76,80,81,83,72,73,68,70,77,CM CDM ,75,76,80,81,83,72,73,68,70,77,68
54,85,49,61,83,79,189242,85,60,49,79,61,83,83,77,84,64,CAM LW ,85,60,49,79,61,83,83,77,84,64,77
55,86,52,64,86,80,188350,86,63,52,80,64,86,84,82,86,67,LW ST LM ,86,63,52,80,64,86,84,82,86,67,82
56,67,84,81,67,74,184087,67,79,84,74,81,67,67,67,65,77,CB ,67,79,84,74,81,67,67,67,65,77,67
57,71,83,81,69,75,179944,71,79,83,75,81,69,70,69,69,78,CB ,71,79,83,75,81,69,70,69,69,78,69
58,76,57,60,80,71,179844,76,58,57,71,60,80,76,83,77,60,ST ,76,58,57,71,60,80,76,83,77,60,83
59,82,81,84,82,84,178518,82,83,81,84,84,82,82,80,81,84,CAM CM ,82,83,81,84,84,82,82,80,81,84,80
60,67,84,80,66,72,177610,67,76,84,72,80,66,65,67,63,74,CDM CB ,67,76,84,72,80,66,65,67,63,74,67
61,85,47,60,85,78,175943,85,60,47,78,60,85,84,78,86,65,ST LW CF ,85,60,47,78,60,85,84,78,86,65,78
62,59,84,76,61,63,172879,59,77,84,63,76,61,61,64,59,73,CB ,59,77,84,63,76,61,61,64,59,73,64
63,63,84,79,62,67,168609,63,77,84,67,79,62,63,63,61,75,CB ,63,77,84,67,79,62,63,63,61,75,63
64,82,44,52,84,72,165153,82,51,44,72,52,84,80,83,83,56,ST ,82,51,44,72,52,84,80,83,83,56,83
65,82,64,72,80,83,162895,82,70,64,83,72,80,81,77,80,72,CAM CDM CM ,82,70,64,83,72,80,81,77,80,72,77
66,85,42,57,83,78,156616,85,55,42,78,57,83,83,77,84,61,LW LM ,85,55,42,78,57,83,83,77,84,61,77
67,59,83,76,59,63,120533,59,75,83,63,76,59,59,61,58,72,CB ,59,75,83,63,76,59,59,61,58,72,61
68,,,,,,48940,,,,,,,,,,,GK ,,,,,,,,,,,
69,82,45,56,83,74,208418,82,56,45,74,56,83,83,79,84,60,RM LM ,82,56,45,74,56,83,83,79,84,60,79
70,64,83,79,62,69,201535,64,77,83,69,79,62,63,62,61,73,CB ,64,77,83,69,79,62,63,62,61,73,62
71,74,83,84,72,79,200145,74,78,83,79,84,72,71,72,69,77,CDM ,74,78,83,79,84,72,71,72,69,77,72
72,85,39,54,83,77,198219,85,55,39,77,54,83,84,76,85,60,LW ,85,55,39,77,54,83,84,76,85,60,76
73,81,54,60,83,74,193301,81,59,54,74,60,83,80,83,82,62,ST ,81,59,54,74,60,83,80,83,82,62,83
74,,,,,,193041,,,,,,,,,,,GK ,,,,,,,,,,,
75,84,62,70,83,80,192883,84,70,62,80,70,83,83,79,84,73,LM RW RM ,84,70,62,80,70,83,83,79,84,73,79
76,,,,,,192593,,,,,,,,,,,GK ,,,,,,,,,,,
77,,,,,,192563,,,,,,,,,,,GK ,,,,,,,,,,,
78,,,,,,192448,,,,,,,,,,,GK ,,,,,,,,,,,
79,47,83,74,48,55,190547,47,72,83,55,74,48,50,52,45,68,CB ,47,72,83,55,74,48,50,52,45,68,52
80,78,78,80,78,78,189332,78,83,78,78,80,78,81,75,80,84,LB ,78,83,78,78,80,78,81,75,80,84,75
81,84,69,77,81,83,186942,84,73,69,83,77,81,81,76,81,75,CDM CM ,84,73,69,83,77,81,81,76,81,75,76
82,72,83,82,70,76,184432,72,84,83,76,82,70,74,68,71,83,LB RB CB ,72,84,83,76,82,70,74,68,71,83,68
83,83,58,66,82,78,183898,83,66,58,78,66,82,83,77,83,70,LW RW ,83,66,58,78,66,82,83,77,83,70,77
84,83,70,78,80,83,180206,83,75,70,83,78,80,81,74,80,77,CDM CM ,83,75,70,83,78,80,81,74,80,77,74
85,82,77,81,80,83,173210,82,79,77,83,81,80,81,76,80,80,CDM CM ,82,79,77,83,81,80,81,76,80,80,76
86,70,83,81,70,74,172871,70,80,83,74,81,70,70,70,69,78,CB ,70,80,83,74,81,70,70,70,69,78,70
87,76,82,83,75,79,170890,76,82,82,79,83,75,77,73,75,82,CM CDM ,76,82,82,79,83,75,77,73,75,82,73
88,,,,,,167628,,,,,,,,,,,GK ,,,,,,,,,,,
89,75,80,81,74,77,164169,75,83,80,77,81,74,78,72,75,83,LB ,75,83,80,77,81,74,78,72,75,83,72
90,62,82,77,62,67,139720,62,76,82,67,77,62,63,63,61,74,CB ,62,76,82,67,77,62,63,63,61,74,63
91,58,83,76,55,63,137186,58,75,83,63,76,55,57,53,55,71,CB ,58,75,83,63,76,55,57,53,55,71,53
92,61,83,76,61,65,225508,61,77,83,65,76,61,63,60,61,75,CB ,61,77,83,65,76,61,63,60,61,75,60
93,82,50,62,81,78,220834,82,60,50,78,62,81,81,77,81,65,LW LM RM CAM ,82,60,50,78,62,81,81,77,81,65,77
94,83,53,66,82,79,218667,83,63,53,79,66,82,83,75,83,68,RM ,83,63,53,79,66,82,83,75,83,68,75
95,62,83,79,62,69,212218,62,78,83,69,79,62,64,64,61,75,CB ,62,78,83,69,79,62,64,64,61,75,64
96,83,69,75,83,81,211117,83,72,69,81,75,83,81,81,81,73,LM CF CAM ,83,72,69,81,75,83,81,81,81,73,81
97,81,51,60,82,74,208722,81,60,51,74,60,82,82,79,83,63,LW RW ,81,60,51,74,60,82,82,79,83,63,79
98,70,81,80,69,73,204963,70,83,81,73,80,69,75,65,72,83,RB ,70,83,81,73,80,69,75,65,72,83,65
99,83,49,59,83,77,202166,83,57,49,77,59,83,82,80,83,62,LM CAM LW ,83,57,49,77,59,83,82,80,83,62,80
100,75,46,50,79,67,201399,75,49,46,67,50,79,73,82,75,51,ST ,75,49,46,67,50,79,73,82,75,51,82
101,79,45,51,81,70,201153,79,51,45,70,51,81,78,82,80,56,ST ,79,51,45,70,51,81,78,82,80,56,82
102,48,83,73,49,55,201024,48,74,83,55,73,49,52,51,48,70,CB ,48,74,83,55,73,49,52,51,48,70,51
103,,,,,,200316,,,,,,,,,,,GK ,,,,,,,,,,,
104,82,67,75,80,82,193747,82,71,67,82,75,80,81,77,80,74,LM RM CM ,82,71,67,82,75,80,81,77,80,74,77
105,49,83,74,48,56,192774,49,76,83,56,74,48,53,49,49,72,CB ,49,76,83,56,74,48,53,49,49,72,49
106,64,82,78,63,68,192227,64,76,82,68,78,63,63,65,62,74,CB ,64,76,82,68,78,63,63,65,62,74,65
107,81,78,83,79,83,191740,81,80,78,83,83,79,80,75,79,81,CDM CM ,81,80,78,83,83,79,80,75,79,81,75
108,80,79,83,78,83,189712,80,78,79,83,83,78,78,76,77,79,CDM CM ,80,78,79,83,83,78,78,76,77,79,76
109,82,50,61,82,77,189505,82,60,50,77,61,82,82,77,83,65,LW RW ,82,60,50,77,61,82,82,77,83,65,77
110,,,,,,189117,,,,,,,,,,,GK ,,,,,,,,,,,
111,76,78,82,74,82,184120,76,74,78,82,82,74,72,71,71,75,CDM CM ,76,74,78,82,82,74,72,71,71,75,71
112,80,56,62,81,76,181458,80,64,56,76,62,81,82,81,82,67,CAM LM ,80,64,56,76,62,81,82,81,82,67,81
113,77,49,57,79,73,180930,77,52,49,73,57,79,75,82,76,55,ST ,77,52,49,73,57,79,75,82,76,55,82
114,83,55,68,82,80,180403,83,68,55,80,68,82,83,74,83,72,CAM RM RW ,83,68,55,80,68,82,83,74,83,72,74
115,79,81,82,78,82,179846,79,78,81,82,82,78,77,77,76,79,CDM CM ,79,78,81,82,82,78,77,77,76,79,77
116,,,,,,179783,,,,,,,,,,,GK ,,,,,,,,,,,
117,,,,,,178750,,,,,,,,,,,GK ,,,,,,,,,,,
118,82,45,59,81,78,178088,82,55,45,78,59,81,81,76,81,61,RM CAM ,82,55,45,78,59,81,81,76,81,61,76
119,58,82,75,58,62,177509,58,75,82,62,75,58,60,60,58,72,CB ,58,75,82,62,75,58,60,60,58,72,60
120,84,51,63,82,79,177388,84,60,51,79,63,82,83,78,83,64,CAM LW ,84,60,51,79,63,82,83,78,83,64,78
121,77,54,57,79,71,167397,77,54,54,71,57,79,74,82,76,56,ST ,77,54,54,71,57,79,74,82,76,56,82
122,62,82,78,60,67,165229,62,78,82,67,78,60,63,58,60,76,CB ,62,78,82,67,78,60,63,58,60,76,58
123,61,82,75,61,65,164468,61,73,82,65,75,61,58,64,58,69,CB ,61,73,82,65,75,61,58,64,58,69,64
124,79,76,79,78,80,146530,79,81,76,80,79,78,80,74,79,81,RB ,79,81,76,80,79,78,80,74,79,81,74
125,84,45,59,83,77,143076,84,59,45,77,59,83,84,76,85,65,ST LW CF ,84,59,45,77,59,83,84,76,85,65,76
126,76,60,58,80,69,106231,76,58,60,69,58,80,73,83,75,58,ST ,76,58,60,69,58,80,73,83,75,58,83
127,81,58,64,82,75,231747,81,64,58,75,64,82,81,82,82,67,ST ,81,64,58,75,64,82,81,82,82,67,82
128,82,45,57,82,74,231443,82,58,45,74,57,82,82,76,83,63,CAM LW RW ,82,58,45,74,57,82,82,76,83,63,76
129,82,65,76,80,82,220971,82,71,65,82,76,80,81,74,80,75,CAM CDM CM ,82,71,65,82,76,80,81,74,80,75,74
130,51,82,73,51,57,216460,51,75,82,57,73,51,53,56,51,71,CB ,51,75,82,57,73,51,53,56,51,71,56
131,,,,,,215316,,,,,,,,,,,GK ,,,,,,,,,,,
132,82,66,72,81,78,213565,82,72,66,78,72,81,82,77,82,75,LM ,82,72,66,78,72,81,82,77,82,75,77
133,80,70,77,79,81,212814,80,74,70,81,77,79,80,74,79,77,CAM CM ,80,74,70,81,77,79,80,74,79,77,74
134,51,81,75,52,60,212190,51,73,81,60,75,52,51,56,48,69,CB ,51,73,81,60,75,52,51,56,48,69,56
135,,,,,,210257,,,,,,,,,,,GK ,,,,,,,,,,,
136,74,82,82,74,77,209499,74,82,82,77,82,74,76,72,74,82,CDM ,74,82,82,77,82,74,76,72,74,82,72
137,81,56,64,82,75,209331,81,64,56,75,64,82,82,78,83,68,RW ,81,64,56,75,64,82,82,78,83,68,78
138,74,51,52,78,65,208596,74,52,51,65,52,78,72,82,75,54,ST ,74,52,51,65,52,78,72,82,75,54,82
139,81,45,59,79,76,208448,81,55,45,76,59,79,81,74,81,61,LM CAM ,81,55,45,76,59,79,81,74,81,61,74
140,64,82,80,61,70,207865,64,80,82,70,80,61,67,60,63,79,CB ,64,80,82,70,80,61,67,60,63,79,60
141,72,79,81,69,79,207566,72,75,79,79,81,69,72,67,69,75,CM CDM ,72,75,79,79,81,69,72,67,69,75,67
142,69,81,79,69,73,205600,69,79,81,73,79,69,70,69,69,78,CB ,69,79,81,73,79,69,70,69,69,78,69
143,81,41,55,80,74,204485,81,54,41,74,55,80,81,74,82,60,RM ,81,54,41,74,55,80,81,74,82,60,74
144,66,82,79,66,71,203376,66,77,82,71,79,66,67,67,65,76,CB ,66,77,82,71,79,66,67,67,65,76,67
145,83,58,65,83,79,201942,83,63,58,79,65,83,82,81,82,66,CAM CF ST ,83,63,58,79,65,83,82,81,82,66,81
146,72,82,82,72,77,200888,72,77,82,77,82,72,72,71,69,76,CM CB CDM ,72,77,82,77,82,72,72,71,69,76,71
147,81,47,57,81,75,199715,81,54,47,75,57,81,82,79,81,59,RM LM ,81,54,47,75,57,81,82,79,81,59,79
148,,,,,,199482,,,,,,,,,,,GK ,,,,,,,,,,,
149,59,81,77,58,66,198176,59,75,81,66,77,58,60,57,57,73,CB ,59,75,81,66,77,58,60,57,57,73,57
150,,,,,,198009,,,,,,,,,,,GK ,,,,,,,,,,,
151,66,82,79,64,72,197061,66,76,82,72,79,64,66,63,63,75,CB ,66,76,82,72,79,64,66,63,63,75,63
152,74,81,82,73,77,193474,74,80,81,77,82,73,74,70,72,80,CM CDM ,74,80,81,77,82,73,74,70,72,80,70
153,81,46,55,82,72,192629,81,54,46,72,55,82,79,82,81,58,RW ST ,81,54,46,72,55,82,79,82,81,58,82
154,58,81,76,58,64,192366,58,75,81,64,76,58,58,63,57,72,CB ,58,75,81,64,76,58,58,63,57,72,63
155,74,80,81,73,79,191202,74,78,80,79,81,73,74,73,72,78,CM CDM ,74,78,80,79,81,73,74,73,72,78,73
156,83,63,72,81,81,191180,83,68,63,81,72,81,81,77,81,71,RW LW CM ,83,68,63,81,72,81,81,77,81,71,77
157,80,65,74,78,82,189513,80,68,65,82,74,78,78,75,77,71,CDM CAM CM ,80,68,65,82,74,78,78,75,77,71,75
158,81,43,59,78,76,189358,81,56,43,76,59,78,79,71,78,61,CF CAM ,81,56,43,76,59,78,79,71,78,61,71
159,82,70,76,80,82,189125,82,75,70,82,76,80,81,77,81,78,LW CM ,82,75,70,82,76,80,81,77,81,78,77
160,71,57,57,76,67,189068,71,54,57,67,57,76,68,81,69,55,ST ,71,54,57,67,57,76,68,81,69,55,81
161,73,79,78,73,74,188377,73,82,79,74,78,73,76,72,74,81,RWB RB ,73,82,79,74,78,73,76,72,74,81,72
162,81,49,61,80,77,188152,81,61,49,77,61,80,79,74,79,64,CAM ,81,61,49,77,61,80,79,74,79,64,74
163,74,82,82,73,79,187936,74,77,82,79,82,73,72,73,70,76,CM CDM ,74,77,82,79,82,73,72,73,70,76,73
164,64,82,79,62,69,186547,64,78,82,69,79,62,63,62,61,75,CB ,64,78,82,69,79,62,63,62,61,75,62
165,62,81,77,60,67,185239,62,77,81,67,77,60,63,59,60,74,CB ,62,77,81,67,77,60,63,59,60,74,59
166,80,48,56,81,73,185020,80,60,48,73,56,81,81,79,82,64,RW ,80,60,48,73,56,81,81,79,82,64,79
167,80,75,81,78,82,184826,80,78,75,82,81,78,79,74,78,79,CDM CM ,80,78,75,82,81,78,79,74,78,79,74
168,83,41,57,83,76,184431,83,54,41,76,57,83,82,76,83,60,ST CF ,83,54,41,76,57,83,82,76,83,60,76
169,81,50,61,80,76,184144,81,61,50,76,61,80,81,75,81,65,LM ,81,61,50,76,61,80,81,75,81,65,75
170,76,73,72,78,75,181783,76,72,73,75,72,78,77,81,76,72,LM ST ,76,72,73,75,72,78,77,81,76,72,81
171,82,69,75,80,81,180819,82,73,69,81,75,80,81,77,80,75,CM ,82,73,69,81,75,80,81,77,80,75,77
172,62,81,76,61,66,179784,62,76,81,66,76,61,63,63,61,73,CB ,62,76,81,66,76,61,63,63,61,73,63
173,81,66,75,78,81,178562,81,70,66,81,75,78,79,71,79,73,CM CAM ,81,70,66,81,75,78,79,71,79,73,71
174,,,,,,178005,,,,,,,,,,,GK ,,,,,,,,,,,
175,,,,,,177683,,,,,,,,,,,GK ,,,,,,,,,,,
176,75,79,82,73,79,177358,75,79,79,79,82,73,75,71,72,79,CM CDM ,75,79,79,79,82,73,75,71,72,79,71
177,81,50,58,82,75,176769,81,55,50,75,58,82,79,81,80,58,CF ST ,81,55,50,75,58,82,79,81,80,58,81
178,80,51,59,81,74,176600,80,59,51,74,59,81,80,81,80,62,ST ,80,59,51,74,59,81,80,81,80,62,81
179,74,80,79,74,75,173771,74,81,80,75,79,74,76,74,75,81,CB RB ,74,81,80,75,79,74,76,74,75,81,74
180,64,81,77,63,70,170481,64,74,81,70,77,63,63,66,61,72,CB ,64,74,81,70,77,63,63,66,61,72,66
181,76,79,80,77,77,167905,76,82,79,77,80,77,80,75,78,82,RB ,76,82,79,77,80,77,80,75,78,82,75
182,,,,,,163587,,,,,,,,,,,GK ,,,,,,,,,,,
183,80,78,80,79,81,162240,80,76,78,81,80,79,79,77,78,77,CDM CM ,80,76,78,81,80,79,79,77,78,77,77
184,82,66,75,80,82,161956,82,72,66,82,75,80,81,74,80,74,CF CM CAM ,82,72,66,82,75,80,81,74,80,74,74
185,68,82,79,68,72,159147,68,79,82,72,79,68,69,69,67,77,CB ,68,79,82,72,79,68,69,69,67,77,69
186,76,75,81,73,80,158963,76,78,75,80,81,73,75,68,73,79,CM CDM ,76,78,75,80,81,73,75,68,73,79,68
187,73,78,78,72,75,146760,73,81,78,75,78,72,76,69,74,81,RB ,73,81,78,75,78,72,76,69,74,81,69
188,,,,,,146748,,,,,,,,,,,GK ,,,,,,,,,,,
189,82,64,72,80,81,146562,82,69,64,81,72,80,81,75,81,72,CDM CM ,82,69,64,81,72,80,81,75,81,72,75
190,68,80,81,65,73,142754,68,78,80,73,81,65,67,63,65,77,CDM CB ,68,78,80,73,81,65,67,63,65,77,63
191,81,47,62,79,78,139869,81,58,47,78,62,79,79,72,80,63,CAM ,81,58,47,78,62,79,79,72,80,63,72
192,82,41,56,81,76,139068,82,53,41,76,56,81,81,76,82,59,LM CAM RW LW ,82,53,41,76,56,81,81,76,82,59,76
193,71,81,81,69,76,53302,71,78,81,76,81,69,69,69,67,76,CDM ,71,78,81,76,81,69,69,69,67,76,69
194,,,,,,24630,,,,,,,,,,,GK ,,,,,,,,,,,
195,81,37,52,80,74,20775,81,50,37,74,52,80,81,74,82,57,LM RM ,81,50,37,74,52,80,81,74,82,57,74
196,80,74,77,80,80,20289,80,72,74,80,77,80,77,79,77,73,CDM CM ,80,72,74,80,77,80,77,79,77,73,79
197,,,,,,5479,,,,,,,,,,,GK ,,,,,,,,,,,
198,,,,,,230621,,,,,,,,,,,GK ,,,,,,,,,,,
199,80,50,57,81,72,222492,80,59,50,72,57,81,81,80,82,63,LM RW LW ,80,59,50,72,57,81,81,80,82,63,80
200,71,80,81,69,76,219809,71,78,80,76,81,69,71,65,68,77,CM CDM ,71,78,80,76,81,69,71,65,68,77,65
201,79,78,79,79,81,219683,79,76,78,81,79,79,78,79,77,77,CDM CM ,79,76,78,81,79,79,78,79,77,77,79
202,74,61,63,77,72,217699,74,59,61,72,63,77,74,80,74,61,ST ,74,59,61,72,63,77,74,80,74,61,80
203,81,48,58,80,74,216594,81,54,48,74,58,80,79,77,81,59,ST CAM ,81,54,48,74,58,80,79,77,81,59,77
204,81,73,78,79,81,216451,81,76,73,81,78,79,80,75,79,77,CDM CM ,81,76,73,81,78,79,80,75,79,77,75
205,80,46,55,81,72,215785,80,56,46,72,55,81,81,79,82,60,ST LW ,80,56,46,72,55,81,81,79,82,60,79
206,57,81,75,54,64,213331,57,73,81,64,75,54,57,52,53,70,CB ,57,73,81,64,75,54,57,52,53,70,52
207,81,47,59,81,75,212404,81,58,47,75,59,81,81,76,82,63,LM CF RM ,81,58,47,75,59,81,81,76,82,63,76
208,77,46,53,80,68,212188,77,55,46,68,53,80,78,81,80,59,ST ,77,55,46,68,53,80,78,81,80,59,81
209,79,74,78,77,80,211575,79,72,74,80,78,77,76,75,75,73,CAM LW CM ,79,72,74,80,78,77,76,75,75,73,75
210,79,55,60,81,72,211300,79,62,55,72,60,81,80,81,82,65,ST LM ,79,62,55,72,60,81,80,81,82,65,81
211,80,77,80,79,81,209658,80,80,77,81,80,79,80,77,79,80,CDM CAM CM ,80,80,77,81,80,79,80,77,79,80,77
212,81,46,55,81,73,208808,81,56,46,73,55,81,81,78,82,60,LM ST RM ,81,56,46,73,55,81,81,78,82,60,78
213,81,51,63,81,78,208618,81,62,51,78,63,81,82,76,82,67,RM RW ,81,62,51,78,63,81,82,76,82,67,76
214,80,78,79,79,81,208421,80,78,78,81,79,79,79,77,78,78,RM CM ,80,78,78,81,79,79,79,77,78,78,77
215,59,81,77,56,65,207863,59,75,81,65,77,56,60,57,57,73,CB ,59,75,81,65,77,56,60,57,57,73,57
216,75,44,50,78,66,207664,75,49,44,66,50,78,75,80,77,53,ST ,75,49,44,66,50,78,75,80,77,53,80
217,81,57,66,80,78,207471,81,60,57,78,66,80,79,77,79,64,CF CM CAM ,81,60,57,78,66,80,79,77,79,64,77
218,81,65,74,78,81,207410,81,71,65,81,74,78,80,71,79,74,CDM CM ,81,71,65,81,74,78,80,71,79,74,71
219,,,,,,206652,,,,,,,,,,,GK ,,,,,,,,,,,
220,81,69,74,80,81,206545,81,71,69,81,74,80,79,77,78,73,CAM CDM CM ,81,71,69,81,74,80,79,77,78,73,77
221,59,81,75,58,64,205452,59,76,81,64,75,58,62,58,59,74,RB CB ,59,76,81,64,75,58,62,58,59,74,58
222,81,50,59,81,75,204970,81,59,50,75,59,81,81,78,82,63,RM RW ,81,59,50,75,59,81,81,78,82,63,78
223,53,81,74,52,60,204639,53,72,81,60,74,52,54,53,51,68,CB ,53,72,81,60,74,52,54,53,51,68,53
224,62,81,77,62,67,204525,62,75,81,67,77,62,62,63,60,73,CB ,62,75,81,67,77,62,62,63,60,73,63
225,76,74,81,73,79,204277,76,78,74,79,81,73,77,67,74,80,CM CDM ,76,78,74,79,81,73,77,67,74,80,67
226,80,76,79,80,80,203551,80,80,76,80,79,80,81,79,81,80,CM RW RB ,80,80,76,80,79,80,81,79,81,80,79
227,79,71,75,79,80,203483,79,73,71,80,75,79,78,79,77,73,CAM CM ,79,73,71,80,75,79,78,79,77,73,79
228,80,48,57,81,72,202857,80,58,48,72,57,81,80,77,82,63,RM ,80,58,48,72,57,81,80,77,82,63,77
229,80,53,61,80,74,202652,80,64,53,74,61,80,81,74,81,67,LM RM RW ,80,64,53,74,61,80,81,74,81,67,74
230,82,37,53,81,75,202651,82,53,37,75,53,81,82,74,82,58,RW ,82,53,37,75,53,81,82,74,82,58,74
231,80,41,53,80,72,202477,80,55,41,72,53,80,81,74,82,60,RW LW ,80,55,41,72,53,80,81,74,82,60,74
